id,osm_type,osm_id,municipality,calc_area_m2,calc_capacity_kw,calc_annual_kwh,calc_peak_kw,matched_query_tags,osm_tags,generated_at
way/1039503751,way,1039503751,横瀬町,115.41,20.77,21808.5,15.58,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503752,way,1039503752,横瀬町,115.42,20.78,21819.0,15.59,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503753,way,1039503753,横瀬町,115.42,20.78,21819.0,15.59,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503754,way,1039503754,横瀬町,115.41,20.77,21808.5,15.58,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503755,way,1039503755,横瀬町,115.42,20.78,21819.0,15.59,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503756,way,1039503756,横瀬町,115.42,20.78,21819.0,15.59,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503757,way,1039503757,横瀬町,115.41,20.77,21808.5,15.58,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503758,way,1039503758,横瀬町,109.46,19.7,20685.0,14.77,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503759,way,1039503759,横瀬町,69.75,12.55,13177.5,9.41,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039503760,way,1039503760,横瀬町,69.76,12.56,13188.0,9.42,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
